DataFile.Basename,SD,choise,justice1.RESP,justice1.RT,T1.RT,T1.RESP
T-1-1,SD1.jpg,T5.png,,,,
T-1-1,SD1.jpg,T3.png,,,,
T-1-1,SD2.jpg,T5.png,,,,
T-1-1,SD2.jpg,T4.png,,,,
T-1-1,SD3.jpg,T1.png,,,,
T-1-1,SD3.jpg,T2.png,,,,
T-1-1,SD1.jpg,T5.png,j,1185,1657,j
T-1-1,SD1.jpg,T3.png,f,1029,1273,f
T-1-1,SD1.jpg,T1.png,j,833,1405,j
T-1-1,SD1.jpg,T4.png,j,951,1955,j
T-1-1,SD1.jpg,T2.png,j,692,1238,j
T-1-1,SD1.jpg,T3.png,f,1321,894,f
T-1-1,SD1.jpg,T5.png,j,1441,1330,j
T-1-1,SD1.jpg,T1.png,j,705,1436,j
T-1-1,SD1.jpg,T2.png,j,499,1174,j
T-1-1,SD1.jpg,T4.png,j,632,565,j
T-1-1,SD1.jpg,T3.png,f,684,752,f
T-1-1,SD1.jpg,T2.png,j,546,1066,j
T-1-1,SD1.jpg,T1.png,j,1114,872,j
T-1-1,SD1.jpg,T5.png,j,632,920,j
T-1-1,SD1.jpg,T4.png,j,520,1108,j
T-1-1,SD1.jpg,T2.png,j,263,793,j
T-1-1,SD1.jpg,T5.png,j,204,579,j
T-1-1,SD1.jpg,T1.png,j,767,515,j
T-1-1,SD1.jpg,T3.png,f,236,865,f
T-1-1,SD1.jpg,T4.png,j,173,633,j
T-1-1,SD2.jpg,T3.png,f,709,1234,f
T-1-1,SD2.jpg,T2.png,j,426,1377,j
T-1-1,SD2.jpg,T5.png,j,474,1269,j
T-1-1,SD2.jpg,T1.png,j,471,703,j
T-1-1,SD2.jpg,T4.png,j,31,481,j
T-1-1,SD2.jpg,T2.png,j,204,589,j
T-1-1,SD2.jpg,T5.png,j,217,555,j
T-1-1,SD2.jpg,T3.png,f,246,459,j
T-1-1,SD2.jpg,T4.png,j,368,671,j
T-1-1,SD2.jpg,T1.png,j,522,580,j
T-1-1,SD2.jpg,T5.png,j,216,628,j
T-1-1,SD2.jpg,T3.png,f,445,334,f
T-1-1,SD2.jpg,T2.png,j,421,520,j
T-1-1,SD2.jpg,T4.png,f,459,591,j
T-1-1,SD2.jpg,T1.png,j,354,637,j
T-1-1,SD2.jpg,T4.png,j,268,505,j
T-1-1,SD2.jpg,T3.png,f,264,532,f
T-1-1,SD2.jpg,T1.png,j,502,448,j
T-1-1,SD2.jpg,T5.png,j,276,625,j
T-1-1,SD2.jpg,T2.png,j,464,660,j
T-1-1,SD3.jpg,T3.png,f,716,1636,f
T-1-1,SD3.jpg,T4.png,j,249,475,j
T-1-1,SD3.jpg,T2.png,j,260,515,j
T-1-1,SD3.jpg,T5.png,j,229,535,j
T-1-1,SD3.jpg,T1.png,j,528,448,j
T-1-1,SD3.jpg,T4.png,j,50,546,j
T-1-1,SD3.jpg,T2.png,j,265,424,j
T-1-1,SD3.jpg,T5.png,j,269,431,j
T-1-1,SD3.jpg,T1.png,j,217,562,j
T-1-1,SD3.jpg,T3.png,f,213,683,f
T-1-1,SD3.jpg,T4.png,j,542,581,j
T-1-1,SD3.jpg,T1.png,j,353,920,j
T-1-1,SD3.jpg,T3.png,f,250,569,f
T-1-1,SD3.jpg,T5.png,j,348,509,j
T-1-1,SD3.jpg,T2.png,j,290,576,j
T-1-1,SD3.jpg,T3.png,f,185,507,f
T-1-1,SD3.jpg,T5.png,j,227,413,j
T-1-1,SD3.jpg,T4.png,j,268,535,j
T-1-1,SD3.jpg,T1.png,j,182,596,j
T-1-1,SD3.jpg,T2.png,j,544,444,j
T-10-1,SD1.jpg,T1.png,,,,
T-10-1,SD1.jpg,T2.png,,,,
T-10-1,SD2.jpg,T4.png,,,,
T-10-1,SD2.jpg,T2.png,,,,
T-10-1,SD3.jpg,T3.png,,,,
T-10-1,SD3.jpg,T2.png,,,,
T-10-1,SD1.jpg,T5.png,,,,
T-10-1,SD1.jpg,T1.png,,,,
T-10-1,SD2.jpg,T4.png,,,,
T-10-1,SD2.jpg,T1.png,,,,
T-10-1,SD3.jpg,T2.png,,,,
T-10-1,SD3.jpg,T4.png,,,,
T-10-1,SD1.jpg,T4.png,j,397,3492,f
T-10-1,SD1.jpg,T1.png,j,678,3312,f
T-10-1,SD1.jpg,T3.png,f,326,1271,f
T-10-1,SD1.jpg,T2.png,j,469,3510,f
T-10-1,SD1.jpg,T5.png,j,340,2319,f
T-10-1,SD1.jpg,T2.png,j,1483,0,
T-10-1,SD1.jpg,T4.png,j,1239,1846,f
T-10-1,SD1.jpg,T5.png,j,594,2008,f
T-10-1,SD1.jpg,T1.png,j,635,1652,j
T-10-1,SD1.jpg,T3.png,f,322,1254,f
T-10-1,SD1.jpg,T5.png,j,552,1711,f
T-10-1,SD1.jpg,T3.png,f,359,867,f
T-10-1,SD1.jpg,T2.png,f,369,3129,f
T-10-1,SD1.jpg,T4.png,j,855,1421,f
T-10-1,SD1.jpg,T1.png,j,315,3041,f
T-10-1,SD1.jpg,T4.png,j,626,909,f
T-10-1,SD1.jpg,T2.png,j,653,1484,f
T-10-1,SD1.jpg,T5.png,j,530,1033,f
T-10-1,SD1.jpg,T1.png,j,462,1248,f
T-10-1,SD1.jpg,T3.png,f,266,1021,f
T-10-1,SD2.jpg,T2.png,j,324,3194,f
T-10-1,SD2.jpg,T5.png,j,304,2150,f
T-10-1,SD2.jpg,T4.png,j,773,2574,f
T-10-1,SD2.jpg,T3.png,f,909,865,f
T-10-1,SD2.jpg,T1.png,j,427,2340,f
T-10-1,SD2.jpg,T4.png,j,550,2179,f
T-10-1,SD2.jpg,T2.png,j,896,1023,f
T-10-1,SD2.jpg,T5.png,j,817,2263,f
T-10-1,SD2.jpg,T3.png,f,342,872,f
T-10-1,SD2.jpg,T1.png,j,642,1384,f
T-10-1,SD2.jpg,T4.png,j,366,1510,f
T-10-1,SD2.jpg,T2.png,j,305,2139,f
T-10-1,SD2.jpg,T1.png,j,423,1698,f
T-10-1,SD2.jpg,T3.png,f,313,1113,f
T-10-1,SD2.jpg,T5.png,j,420,2501,f
T-10-1,SD2.jpg,T4.png,j,304,1410,f
T-10-1,SD2.jpg,T1.png,j,681,1498,f
T-10-1,SD2.jpg,T2.png,j,575,1117,f
T-10-1,SD2.jpg,T5.png,j,735,1125,f
T-10-1,SD2.jpg,T3.png,f,800,730,f
T-10-1,SD3.jpg,T2.png,j,717,2634,j
T-10-1,SD3.jpg,T3.png,f,321,850,f
T-10-1,SD3.jpg,T4.png,j,578,986,j
T-10-1,SD3.jpg,T5.png,j,551,1068,j
T-10-1,SD3.jpg,T1.png,j,351,1175,j
T-10-1,SD3.jpg,T4.png,j,339,1411,j
T-10-1,SD3.jpg,T3.png,f,1030,913,f
T-10-1,SD3.jpg,T1.png,j,503,1114,j
T-10-1,SD3.jpg,T5.png,j,254,674,j
T-10-1,SD3.jpg,T2.png,j,321,642,j
T-10-1,SD3.jpg,T5.png,j,537,579,j
T-10-1,SD3.jpg,T1.png,j,300,550,j
T-10-1,SD3.jpg,T2.png,j,355,916,j
T-10-1,SD3.jpg,T3.png,f,473,815,f
T-10-1,SD3.jpg,T4.png,j,436,1140,j
T-10-1,SD3.jpg,T5.png,j,302,511,j
T-10-1,SD3.jpg,T4.png,j,365,1339,j
T-10-1,SD3.jpg,T3.png,f,526,817,f
T-10-1,SD3.jpg,T2.png,j,287,908,j
T-10-1,SD3.jpg,T1.png,j,304,724,j
T-10-2,SD1.jpg,T5.png,,,,
T-10-2,SD1.jpg,T1.png,,,,
T-10-2,SD2.jpg,T5.png,,,,
T-10-2,SD2.jpg,T3.png,,,,
T-10-2,SD3.jpg,T1.png,,,,
T-10-2,SD3.jpg,T3.png,,,,
T-10-2,SD1.jpg,T1.png,j,471,1403,f
T-10-2,SD1.jpg,T4.png,j,549,1065,f
T-10-2,SD1.jpg,T2.png,j,491,1365,f
T-10-2,SD1.jpg,T5.png,j,508,1332,f
T-10-2,SD1.jpg,T3.png,f,331,742,f
T-10-2,SD1.jpg,T4.png,j,418,1115,f
T-10-2,SD1.jpg,T3.png,f,480,715,f
T-10-2,SD1.jpg,T2.png,j,579,832,f
T-10-2,SD1.jpg,T1.png,j,405,497,f
T-10-2,SD1.jpg,T5.png,j,496,550,f
T-10-2,SD1.jpg,T4.png,j,392,531,f
T-10-2,SD1.jpg,T3.png,f,728,655,f
T-10-2,SD1.jpg,T1.png,j,409,611,f
T-10-2,SD1.jpg,T5.png,j,261,448,f
T-10-2,SD1.jpg,T2.png,j,482,570,f
T-10-2,SD1.jpg,T3.png,f,402,611,f
T-10-2,SD1.jpg,T5.png,j,422,479,f
T-10-2,SD1.jpg,T1.png,j,329,500,f
T-10-2,SD1.jpg,T2.png,j,378,568,f
T-10-2,SD1.jpg,T4.png,j,308,500,f
T-10-2,SD2.jpg,T5.png,j,425,1768,j
T-10-2,SD2.jpg,T4.png,j,732,594,f
T-10-2,SD2.jpg,T1.png,j,569,1216,j
T-10-2,SD2.jpg,T2.png,j,677,1233,f
T-10-2,SD2.jpg,T3.png,f,362,783,f
T-10-2,SD2.jpg,T4.png,j,320,1312,f
T-10-2,SD2.jpg,T3.png,f,1045,604,f
T-10-2,SD2.jpg,T1.png,j,481,1028,j
T-10-2,SD2.jpg,T5.png,j,500,1571,j
T-10-2,SD2.jpg,T2.png,j,438,854,f
T-10-2,SD2.jpg,T3.png,f,597,605,f
T-10-2,SD2.jpg,T2.png,j,506,1337,f
T-10-2,SD2.jpg,T1.png,j,386,1465,j
T-10-2,SD2.jpg,T5.png,j,418,1587,f
T-10-2,SD2.jpg,T4.png,j,708,833,f
T-10-2,SD2.jpg,T1.png,j,448,1572,j
T-10-2,SD2.jpg,T4.png,j,294,757,f
T-10-2,SD2.jpg,T2.png,j,334,526,f
T-10-2,SD2.jpg,T5.png,j,489,1438,f
T-10-2,SD2.jpg,T3.png,f,319,709,f
T-10-2,SD3.jpg,T2.png,j,549,1314,f
T-10-2,SD3.jpg,T5.png,j,764,1001,j
T-10-2,SD3.jpg,T4.png,j,577,1451,j
T-10-2,SD3.jpg,T1.png,j,374,812,j
